"Timestamp","Surviving_Generations","Relative_Time_Spent_in_GC"
"01.05.2011 14:10:02","523","15"
"01.05.2011 14:10:03","528","14"
"01.05.2011 14:10:04","534","14"
"01.05.2011 14:10:05","540","14"
"01.05.2011 14:10:06","545","15"
"01.05.2011 14:10:08","550","15"
"01.05.2011 14:10:09","556","16"
"01.05.2011 14:10:10","562","15"
"01.05.2011 14:10:11","567","15"
"01.05.2011 14:10:13","574","13"
"01.05.2011 14:10:14","580","14"
"01.05.2011 14:10:15","586","14"
"01.05.2011 14:10:16","592","14"
"01.05.2011 14:10:17","598","14"
"01.05.2011 14:10:19","604","15"
"01.05.2011 14:10:20","609","15"
"01.05.2011 14:10:21","615","15"
"01.05.2011 14:10:22","621","14"
"01.05.2011 14:10:24","627","14"
"01.05.2011 14:10:25","633","14"
"01.05.2011 14:10:26","639","15"
"01.05.2011 14:10:27","644","14"
"01.05.2011 14:10:28","649","14"
"01.05.2011 14:10:30","655","14"
"01.05.2011 14:10:31","660","14"
"01.05.2011 14:10:32","666","14"
"01.05.2011 14:10:34","673","14"
"01.05.2011 14:10:35","679","15"
"01.05.2011 14:10:36","685","14"
"01.05.2011 14:10:37","691","14"
"01.05.2011 14:10:39","698","14"
"01.05.2011 14:10:40","703","15"
"01.05.2011 14:10:41","709","14"
"01.05.2011 14:10:42","715","14"
"01.05.2011 14:10:43","721","15"
"01.05.2011 14:10:45","727","15"
"01.05.2011 14:10:46","733","14"
"01.05.2011 14:10:47","739","14"
"01.05.2011 14:10:52","749","41"
"01.05.2011 14:10:54","758","8"
"01.05.2011 14:10:55","764","14"
"01.05.2011 14:10:56","769","15"
"01.05.2011 14:10:57","775","14"
"01.05.2011 14:10:59","780","13"
"01.05.2011 14:11:00","786","13"
"01.05.2011 14:11:01","793","15"
"01.05.2011 14:11:03","799","15"
"01.05.2011 14:11:04","804","15"
"01.05.2011 14:11:05","810","14"
"01.05.2011 14:11:06","815","14"
"01.05.2011 14:11:08","821","13"
"01.05.2011 14:11:09","826","13"
"01.05.2011 14:11:10","831","13"
"01.05.2011 14:11:11","836","14"
"01.05.2011 14:11:12","842","15"
"01.05.2011 14:11:14","848","13"
"01.05.2011 14:11:15","855","15"
"01.05.2011 14:11:16","860","14"
"01.05.2011 14:11:18","866","13"
"01.05.2011 14:11:19","872","13"
"01.05.2011 14:11:20","877","14"
"01.05.2011 14:11:21","883","14"
"01.05.2011 14:11:22","889","14"
"01.05.2011 14:11:24","895","14"
"01.05.2011 14:11:25","901","14"
"01.05.2011 14:11:26","907","14"
"01.05.2011 14:11:27","914","14"
"01.05.2011 14:11:28","920","16"
"01.05.2011 14:11:30","927","14"
"01.05.2011 14:11:31","934","15"
"01.05.2011 14:11:32","940","14"
"01.05.2011 14:11:33","946","13"
"01.05.2011 14:11:34","952","16"
"01.05.2011 14:11:36","958","14"
"01.05.2011 14:11:37","965","14"
"01.05.2011 14:11:38","972","15"
"01.05.2011 14:11:39","976","14"
"01.05.2011 14:11:41","980","13"
"01.05.2011 14:11:42","987","13"
"01.05.2011 14:11:43","993","16"
"01.05.2011 14:11:44","1000","15"
"01.05.2011 14:11:45","1006","15"
"01.05.2011 14:11:47","1013","14"
"01.05.2011 14:11:51","1027","43"
"01.05.2011 14:11:53","1032","8"
"01.05.2011 14:11:54","1039","15"
"01.05.2011 14:11:55","1045","14"
"01.05.2011 14:11:56","1052","15"
"01.05.2011 14:11:58","1058","15"
"01.05.2011 14:11:59","1065","14"
"01.05.2011 14:12:00","1072","15"
"01.05.2011 14:12:01","1078","16"
"01.05.2011 14:12:02","1085","14"
"01.05.2011 14:12:04","1091","14"
"01.05.2011 14:12:05","1097","13"
"01.05.2011 14:12:07","1107","13"
"01.05.2011 14:12:08","1114","15"
"01.05.2011 14:12:09","1120","14"
"01.05.2011 14:12:11","1127","15"
"01.05.2011 14:12:12","1133","14"
"01.05.2011 14:12:13","1140","14"
"01.05.2011 14:12:14","1147","16"
"01.05.2011 14:12:15","1153","15"
"01.05.2011 14:12:17","1160","15"
"01.05.2011 14:12:18","1166","14"
"01.05.2011 14:12:21","1176","9"
"01.05.2011 14:12:22","1182","14"
"01.05.2011 14:12:24","1188","15"
"01.05.2011 14:12:25","1195","16"
